ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
2023,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,,,,1 body sherd,3,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2024,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,,,,1 base,3,Paint,,,,,,,,,,,,,,,,2,,,,,1 obsidian; 1 chert
2026,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",1 body sherd,60,Grooved,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2027,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,1 base,11,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2031,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,1 body sherd,4,Paint,"1 handle, 1 rim, 4 body sherds",6,3 body sherds with BG; 1 body sherd groove; rim BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,,,,,,Red paint
2032,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"1 base, 1 handle, 1 rim, 2 body sherds",28,1 base cookware; 1 body sherd painted,"1 rim, 5 body sherds",11,4 body sherds BG,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
2033,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,1 handle,4,Cookware,"1 base, 3 rims, 1 body sherd",11,Base BG; 1 rim BG; 1 rim red paint; body sherd BG,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,1,,,Modern nail
2034,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,2 handles,54,,"1 base, 3 handles, 3 rims, 1 body sherd",5,Base BG and red paint; 1 rim BG; 2 rims BG and red; body sherd BG,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
2035,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,,,,"3 handles, 1 rim, 7 body sherds",6,2 handles BG; 1 rim red paint; 6 body sherds BG; 1 body sherd BG and red; 1 body sherd red,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
2036,2036_1 Choice assemblage with black figure,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",1 rim,9,Cookware,"1 base, 1 rim, 1 body sherd",47,Body sherd BG,"7 rims, 19 body sherds",69,*1 rim grooved; 5 rims BG; 1 rim BG and red; 1 body sherd black figure; 1 body sherd BG decoration; 10 body sherds BG; 9 body sherds BG and red *,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,,,,,,,
2037,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,1 rim,1,,"2 bases, 1 rim, 4 body sherds",10,1 base BG; 1 torus base *; rim with BG; 3 body sherds BG,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,1,,,,,,
2038,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"1 handle, 3 rims, 1 body sherd",69,1 rim with groove; 1 modern rim; body sherd is combed,"2 rims, 2 body sherds",14,1 aryballos rim with painted decoration; 1 rim BG; 2 body sherds BG,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
