ADMIN ID 1,Inventory numbers,Photo #,DD-MMM-YYYY,Author,"FABRIC LEVIGATION: count and weigh by group, list number of handles, bases, rims, and body shards under #. Coarse#",Coarse_g,CoarseNotes,Med#,Med_g,MedNotes,Fine#,Fine_g,FineNotes,CHRONOLOGY - indicate presence/absence with Y/N NL,EH,MH,Mycenaean,EIA,Geometric,Archaic,Classical,Hellenistic,Arch_Class,Arch_Class_Hell,Roman,Medieval,EarlyMod,MATERIAL: number Tile,Lithics,WorkedStone,Metal,Bone,Shell,Notes
10089,10089_1 Choice Assemblage,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,1 base,8,BG,"5 bases, 4 handles, 6 rims, 24 body sherds`",75,"All bases BG, Bases various decorations including: stripes, patterns; 3 handles with BG; handles other applied decoration; All rims BG, 1 body sherd with raised decoration; body sherds with banded decoration; 1 greyware body sherd* Minyan?",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10090,10090_1 Choice assemblage; 10090_2 Archaic blob rosette,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,,,,"6 bases, 4 handles, 3 rims, 39 body sherds, 1 other",69,BG on bases; 1 base with black figure and rosette*; 1 base with banded decoration; All handles have BG; 4 body sherds with rays pattern; Rims all BG and banded pattern; Body sherds with various pattern; other is white modern ware,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,,,,,,,
10094,,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,,,,"1 base, 1 body sherd",26,"Base BG and red paint; Body sherd BG 
",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10095,,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,,,,1 base,5,BG and banded decoration,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10098,10098_1 Amphora toe,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",1 other,221,Amphora toe*,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10100,,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",1 handle,104,Cookware,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10102,10102_1 Archaic BS squiggle,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",,,,1 rim,17,,"2 bases, 3 body sherds",8,Bases BG; 1 body sherd fired red; 1 body sherd BG; 1 body sherd BG pattern decoration*,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10112,,,Tue Jan 28 00:00:00 CET 2020,"DM, LW",1 handle,262,Amphora handle *,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10121,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",,,,1 body sherd,10,BG banded,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10139,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",,,,,,,1 base,12,Formerly BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10144,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,1 handle,173,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
10147,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,3 handles,192,2 Grooved; 1 cookware,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20000,,,Mon Jan 27 00:00:00 CET 2020,SL,,,,3 body sherds,5,1 BG,"1 base, 1 rim",3,Base BG; rim red and BG,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20002,,,Mon Jan 27 00:00:00 CET 2020,SL,,,,1 base,9,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20003,,016; 017,Mon Jan 27 00:00:00 CET 2020,SL,,,,1 handle,7,Dark red fabric,,,,,,,,,,,,,,,,,,,,,,,,
20004,,059; 060,Mon Jan 27 00:00:00 CET 2020,SL,1 base,56,,1 body sherd,9,,,,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20005,,026; 027,Mon Jan 27 00:00:00 CET 2020,SL,1 handle,63,,1 handle,105,Amphora or Jug,,,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20006,,063; 064,Mon Jan 27 00:00:00 CET 2020,SL,1 rim,61,Lekane,1 rim,5,,,,,,,,,,,,,,,,,,,1,,,,,,
20007,,013; 014; 015,Mon Jan 27 00:00:00 CET 2020,SL,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,Tile black painted very hard; 1 obsidian blade; 1 chert flake
20008,,071; 072,Mon Jan 27 00:00:00 CET 2020,SL,,,,1 body sherd,37,Storage,,,,,,,,,,,,,,,,,,,,,,,,
20009,,073; 074,Mon Jan 27 00:00:00 CET 2020,SL,1 handle,236,,1 handle,71,Double Handle,,,,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,,,,,,,
20011,,,Mon Jan 27 00:00:00 CET 2020,SL,,,,1 body sherd,11,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2,,,,,,
20012,,009; 010,Mon Jan 27 00:00:00 CET 2020,SL,,,,"2 handles, 2 rims, 1 body sherd",46,Groove on body sherd,"2 bases, 1 handle",12,"Groove on handle, 1 modern rim",N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,,2,,,,,1 obsidian blade; 1 chert
20013,,,Mon Jan 27 00:00:00 CET 2020,"SL, JB","2 handles, 1 body sherd",282,Protruding piece on body sherd,"2 handles, 1 rim, 1 body sherd",64,,"1 handle, 1 rim",33,Red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,,,,,,
20014,20014_1 spout,,Mon Jan 27 00:00:00 CET 2020,JB,"4 rims, 2 body sherds",336,1 rim with groove,"4 handles, 1 other",73,Other is possible rim or base,"2 bases, 1 handle, 1 other",34,1 base BG; 1 base red paint; other is spout from lamp *,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20015,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",3 handles,281,,"1 rim, 1 other",21,Other is possible base,1 rim,9,"Groove, Paint",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,1,,,,,Obsidian blade
20016,,061; 062,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 handle, 1 rim",28,Handle is cookware,"1 base, 3 rims",22,,1 base,13,Red paint,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,1,,,,,Obsidian
20017,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 base,90,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20018,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 handle,108,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20020,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",2 body sherds,16,Cookware with grooves,,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
20021,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 base, 2 handles, 1 rim",185,,"2 handles, 2 rims, 1 body sherd",255,,"1 base, 1 other",62,Other is possible figurine *,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20022,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR","7 handles, 5 rims, 1 body sherd",941,"1 rim with groove,","1 base, 2 handles, 1 rim, 1 body sherd",159,"base is grooved, rim and body sherd with groove",,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20022,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","2 handles, 1 rim",546,,4 handles,356,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20023,20023_1 Single grooved red handle; 20023_2 Possible foot,,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 base, 3 handles, 2 rims, 1 other",516,Groove on base; Groove on handle *; Other is possible foot *,,,1 body sherd,56,Neck,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
20024,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","2 handles, 6 rims",1028,1 double handle,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20025,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 handle,73,,1 body sherd,11,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20026,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",,,,2 rims,14,1 BG,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20027,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 handle, 2 rims",267,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20028,20028_1 Med design; 20028_2 cup handle,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 base, 2 handles, 6 rims",525,,"2 handles, 1 rim, 1 body sherd",256,Body sherd has red and BG *,,14,Handle has BG; body has Byzantine painted design,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,,,,,
20029,20029_1 Large spout,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","1 base, 1 handle, 3 rims",1695,2 Pithoi rim,1 other,128,Spout *,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20029,20029_2 Grooved red handle; 20029_3 Ring base with red paint,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","2 handles, 3 rims, 1 other",294,1 other cookware foot with groove and paint *; rims are cookware,"4 handles, 3 rims, 5 body sherds",373,1 combed body sherd,"1 base, 1 rim, 1 body sherd",25,Base BG and red paint *; rim has BG; body sherd has paint ,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,,,,,,,
20030,20030_1 Amphora toe; 20030_2 BS with red paint,,Mon Jan 27 00:00:00 CET 2020,"RK, JB","2 bases, 2 handles, 2 rims",237,Handle is cookware,"1 handle, 1 rim, 1 body sherd, 1 other",268,Other is amphora toe *; body sherd combed ,1 body sherd,2,Paint; Votive Cup,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,,,,,,,
20031,20031_1 Archaic BS with design; 20031_2 Votive cup base,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 base, 3 handles, 1 rim",190,,,,,"5 bases, 1 handle, 3 rims, 1 body sherd",34,1 base concentric red paint circles; cup handle; Body sherd added red paint *,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,,,,,
20032,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 rim,18,Cookware,"1 handle, 1 body sherd",58,Paint on body sherd,1 body sherd, <1,Groove,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,,,,,,
20033,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","1 base, 2 rims, 1 body sherd",24,Base has BG; 1 rim has BG; Body sherd is combed,,,,1 base,2,Red paint and BG *,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,1,,,,,,
20034,,,Mon Jan 27 00:00:00 CET 2020,"LW, AH, BP","2 handles, 2 rims",166,Both handles have grooves; 1 double handle; Rims are cookware,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,,,,,,
20035,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP","2 handles, 2 rims, 2 body sherd",516,1 body sherd with groove,2 handles,52,,,,,,,,,,,,,,,,,,,,1,,,,,
20036,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",1 rim,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20037,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 handle,70,,2 body sherds,105,Bottom of amphora or possible neck and groove on exterior *,,,,,,,,,,,,,,,,,,,,,,,,
20038,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",1 handle,33,Cookware,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,2,,,,,,
20039,,,Mon Jan 27 00:00:00 CET 2020,"JB, RK, NS, SR",1 handle,91,,"1 handle, 1 rim",114,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20040,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR","2 handles, 1 rim",248,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20041,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR","1 handle, 1 rim",415,1 pithos rim,,,,,,,,,,,,,,,,,,,,,,,,,,,
20042,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB, NS, SR","1 handle, 1 rim",201,Double handle,,,,1 handle,7,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20043,,,Mon Jan 27 00:00:00 CET 2020,"NS, SR",2 handles,207,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2 chert; 2 modern body sherds
20044,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 handle,83,,,,,1 base,2,Votive Kotyle with paint*,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,,,,,,1,1 shell; 3 modern sherds
20045,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",,,,1 handle,29,,1 base,2,Votive Kotyle *,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,1,,,,,,
20046,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",1 rim,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20047,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",1 base,56,Torus base,,,,1 body sherd,7,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20049,,,Mon Jan 27 00:00:00 CET 2020,"AH, LW, BP",2 handles,127,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Chert sherd
20050,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB",,,,,,,1 body sherd,<1,Possible paint,,,,,,,,,,,,,,,,1,,,,,Chert sherd
20051,,,Mon Jan 27 00:00:00 CET 2020,"RK, JB, NS, SR",,,,,,,1 body sherd,7,Grooved ,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20052,20052_1; 20052_2,,Tue Jan 28 00:00:00 CET 2020,"RK, JB","2 rims, 2 others",586,Handle cookware; 1 pithos rim *; others are foot of tripod *,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20053,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB","1 handle, 1 rim",369,Pithos rim *,,,,,,,,,,,,,,,,,,,,,,,,,,,
20054,,,Tue Jan 28 00:00:00 CET 2020,"JB, RK",,,,,,,1 base,3,Red banded pattern*,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20057,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",,,,1 body sherd,21,"""icky sherd""",,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20058,,,Tue Jan 28 00:00:00 CET 2020,"JB, RK",,,,1 rim,11,,2 handles,2,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20059,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",1 handle,48,,,,,,,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20063,,,Tue Jan 28 00:00:00 CET 2020,"JB, RK",,,,1 handle,123,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,
20064,,,Tue Jan 28 00:00:00 CET 2020,"RK, JB",1 handle,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20065,,,Tue Jan 28 00:00:00 CET 2020,"JB, RK","2 handles, 2 rims, 4 body sherds",277,1 rim with paint; 1 body sherd cookware,,,,2 body sherds,16,1 BG and red paint; 1 red paint,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,,,,,,,
20066,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"2 rims, 2 body sherds",13,1 rim cookware; 1 rim BG; 1 body sherd cookware,"1 base, 1 handle, 2 body sherds",7,Base votive cup red paint *; 2 body sherds BG; 1 body sherd red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,With paint
20067,20067_1 Votive cup base,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"3 rims, 4 body sherds",96,1 rim combed; 1 rim cookware; 3 body sherds cookware,"1 base, 2 handles, 6 rims, 14 body sherds",88,Kotyle base *; 1 handle BG; 2 rims BG and red paint; 2 rims cookware; 6 body sherds BG; 2 body sherds with painted patterns/decoration; 1 body sherd grooved; 1 body sherd red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20068,20068_1 Trefoil neck; 20068_2 BG rim interesting spur handle; 20068_3 BG cup with rays,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,"1 handle, 2 rims, 1 body sherd",46,Handle BG; 1 rim cookware; 1 rim groove,"2 bases, 1 handle, 5 rims, 3 body sherds, 2 other",69,1 base BG; 2 rims with BG and red painted decoration; 3 body sherds BG; 1 body sherd with red rays *; 1 other spout with paint and BG *; 1 other interesting shape BG *,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,,,,,,
20069,,,Tue Jan 28 00:00:00 CET 2020,"LW, RK",,,,3 rims,16,1 with groove; 1 cookware with groove,"1 base, 4 rims, 6 body sherds",22,Base BG; 2 rims BG; 1 rim cookware; 5 body sherds BG; 1 body sherd red paint,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,1,,,,,,Triangular edge
20074,,"
",Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,1 handle,8,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20077,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",,,,1 body sherd,11,Grooved,,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20078,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Chert flake
20079,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",1 rim,74,Storage,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,1,,,,,,
20080,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 modern pottery base sherd
20081,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",1 handle,30,,1 rim,3,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20082,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",1 handle,56,,,,,1 base,5,Grooved and painted,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20087,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP","3 bases, 2 handles",153,1 base cookware,1 body sherd,29,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,1 modern pottery sherd
20091,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,,,,"1 handle, 1 body sherd",10,Body sherd BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20093,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,2 body sherds,41,Both grooved,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20094,20094_1 Lamp spout,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",2 handles,125,Storage amphora *,1 handle,12,,1 other,14,Oil lamp spout *,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20096,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",1 rim,31,,1 rim,10,,"1 base, 1 body sherd",2,Base w/ paint; body sherd w/ paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20097,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,1 rim,21,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20099,,,Fri Jan 31 00:00:00 CET 2020,"LW, SR",,,,"1 base, 1 handle",26,Base BG; Handle BG,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20100,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,"1 handle, 1 rim",22,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20101,,,Wed Jan 29 00:00:00 CET 2020,"LW, DM",,,,,,,1 rim,1,BG and red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20102,,,Fri Jan 31 00:00:00 CET 2020,"LW, SR",,,,1 handle,51,,1 base,3,BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20104,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",1 rim,60,,1 handle,29,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20105,,,Wed Jan 29 00:00:00 CET 2020,"RK, BP",,,,1 base,9,Paint,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20107,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",1 rim,27,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20108,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP, DM",1 handle,63,Cookware,,,,1 handle,11,"Red paint, almost complete *",N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20110,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",1 handle,33,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20111,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP, DM",1 rim,11,Cookware,1 body sherd,12,Grooved,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,1,,,,,Chert sherd
20114,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP, DM",,,,1 body sherd,24,Combed grooves w/ red paint,1 base,9,Red paint,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,,,,,,,
20119,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",1 handle,92,,,,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20121,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",,,,,,,"1 base, 1 rim",11,Base BG and red paint; Rim grooved BG,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20122,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",,,,1 base,8,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
20125,,,Thu Jan 30 00:00:00 CET 2020,"RK, BP",,,,,,,1 base,9,Red paint,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,
